"83-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 83° к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Россию, Казахстан, Китай, Индию, Индийский океан, Южный океан к Южному полюсу и образующая ортодромию с 97-м меридианом западной долготы.","83-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 83 градуса к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Россию, Казахстан, Китай, Индию, Индийский океан, Южный океан к Южному полюсу и образующая ортодромию с 97-м меридианом западной долготы."
"30-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 30° к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Восточную Европу, Турцию, Африку, юго-западную часть Индийского океана, Антарктический океан к Южному полюсу и образующая ортодромию со 150-м меридианом западной долготы.","30-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 30 градусов к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Восточную Европу, Турцию, Африку, юго-западную часть Индийского океана, Антарктический океан к Южному полюсу и образующая ортодромию со 150-м меридианом западной долготы."
"130-й меридиан восточной широты — линия долготы, отстоящая от Гринвичского меридиана на 130° к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Азию, Тихий океан, Австралию, Индийский океан, Антарктический океан, Антарктиду к Южному полюсу и образующая ортодромию с 50-м меридианом западной долготы.","130-й меридиан восточной широты — линия долготы, отстоящая от Гринвичского меридиана на 130 градусов к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Азию, Тихий океан, Австралию, Индийский океан, Антарктический океан, Антарктиду к Южному полюсу и образующая ортодромию с 50-м меридианом западной долготы."
"Космос-30 был помещён в низкую околоземную орбиту с перигеем в 206,6 километров, апогеем в 383,1 километр, с углом наклона плоскости орбиты к плоскости экватора Земли в 64,93°, и орбитальным периодом в 90,24 минуты.","Космос-30 был помещён в низкую околоземную орбиту с перигеем в 206,6 километров, апогеем в 383,1 километр, с углом наклона плоскости орбиты к плоскости экватора Земли в 64,93 градуса, и орбитальным периодом в 90,24 минуты."
"56-я параллель северной широты — линия широты, отстоящая от экватора на 56° к северу и пересекающая Европу, Азию, Тихий океан, Северную Америку и Атлантический океан.","56-я параллель северной широты — линия широты, отстоящая от экватора на 56 градусов к северу и пересекающая Европу, Азию, Тихий океан, Северную Америку и Атлантический океан."
"Принцип действия: молотком наносится удар по поверхности бетона под углом 90°.","Принцип действия: молотком наносится удар по поверхности бетона под углом 90 градусов."
"В процессе записи альбома в группе произошла смена состава — барабанщика Виктора Голованова, ушедшего в группу «°», сменил Леонид Никонов (Ник).","В процессе записи альбома в группе произошла смена состава — барабанщика Виктора Голованова, ушедшего в группу «Градусы», сменил Леонид Никонов (Ник)."
"60-я параллель северной широты — широта, равная 60° севернее экватора Земли.","60-я параллель северной широты — широта, равная 60 градусов севернее экватора Земли."
"Лимб (лат. limbus — кайма, пояс, рубеж, край) — цилиндрическое или коническое кольцо, или диск, разделённый штрихами на равные доли, как правило угловые (°, минуты и т.д.), деления на лимбе считываются непосредственно или с дополнительным нониусом, либо отсчитываются с помощью верньеров или микроскопов-микрометров.","Лимб (лат. limbus — кайма, пояс, рубеж, край) — цилиндрическое или коническое кольцо, или диск, разделённый штрихами на равные доли, как правило угловые (градусы, минуты и т.д.), деления на лимбе считываются непосредственно или с дополнительным нониусом, либо отсчитываются с помощью верньеров или микроскопов-микрометров."
"Курс су́дна относи́тельно ве́тра — ∠ между направлением ветра и диаметральной плоскостью (ДП) судна, то есть курсовой ∠ на точку горизонта, откуда дует ветер, выражающийся в угловых° или румбах.","Курс су́дна относи́тельно ве́тра — угол между направлением ветра и диаметральной плоскостью (ДП) судна, то есть курсовой угол на точку горизонта, откуда дует ветер, выражающийся в угловых градусах или румбах."
"81-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 81° к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Россию, Казахстан, Китай, Индию, Индийский океан, Южный океан к Южному полюсу и образующая ортодромию с 99-м меридианом западной долготы.","81-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 81 градус к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Россию, Казахстан, Китай, Индию, Индийский океан, Южный океан к Южному полюсу и образующая ортодромию с 99-м меридианом западной долготы."
"169-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 169° к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Азию, Тихий океан, Новую Зеландию, Антарктический океан, Антарктиду к Южному полюсу и образующая ортодромию с 11-м меридианом западной долготы.","169-й меридиан восточной долготы — линия долготы, отстоящая от Гринвичского меридиана на 169 градусов к востоку, проходящая от Северного полюса через Северный Ледовитый океан, Азию, Тихий океан, Новую Зеландию, Антарктический океан, Антарктиду к Южному полюсу и образующая ортодромию с 11-м меридианом западной долготы."
"Алтайский край — субъект Российской Федерации, расположенный на юго-востоке Западной Сибири между 50 и 55° северной широты и 77 и 87° восточной долготы.","Алтайский край — субъект Российской Федерации, расположенный на юго-востоке Западной Сибири между 50 и 55 градусами северной широты и 77 и 87 градусами восточной долготы."
"Соревнования прошли при жаркой погоде (до +32° на финише женского марафона).","Соревнования прошли при жаркой погоде (до +32 градусов на финише женского марафона)."
"1-й меридиан западной долготы — линия долготы, отстоящая от Гринвичского меридиана на 1° к западу, проходящая от Северного полюса","1-й меридиан западной долготы — линия долготы, отстоящая от Гринвичского меридиана на 1 градус к западу, проходящая от Северного полюса"
"В комнате температура была точно 21°.","В комнате температура была точно 21 градус."
"Температура в помещении составляет 22°.","Температура в помещении составляет 22 градуса."
"В этой области температура редко превышает 30°.","В этой области температура редко превышает 30 градусов."
"У нас в городе сегодня будет +18°.","У нас в городе сегодня будет +18 градусов."
"На улице было всего 2°, а в помещении — 21°.","На улице было всего 2 градуса, а в помещении — 21 градус."
