question,answer
"Когда ему было девять лет, отец подарил ему двух пони, с которыми он мог бы разучивать собственные №.","Когда ему было девять лет, отец подарил ему двух пони, с которыми он мог бы разучивать собственные номера."
"К шестнадцати годам подготовил собственный № с шестёркой лошадей и выступал с ними.","К шестнадцати годам подготовил собственный номер с шестёркой лошадей и выступал с ними."
"В семнадцать подготовил № «высшей школы» верховой езды под руководством известной наездницы Ольги Гверреры.","В семнадцать подготовил номер «высшей школы» верховой езды под руководством известной наездницы Ольги Гверреры."
"Тот предложил Вильямсу попробовать подрессировать ставших бесхозными слонов, результатом чего был появившийся через несколько месяцев новый № с четырьмя индийскими слонами и лошадьми.","Тот предложил Вильямсу попробовать подрессировать ставших бесхозными слонов, результатом чего был появившийся через несколько месяцев новый номер с четырьмя индийскими слонами и лошадьми."
"Был жалован поместным окладом в 2000 четей и денежным — в 200 ₽.","Был жалован поместным окладом в 2000 четей и денежным — в 200 рублей."
"Кроме того, Селфриджу удалось получить от телефонной компании привилегию иметь цифру «1» в качестве своего собственного телефонного №.","Кроме того, Селфриджу удалось получить от телефонной компании привилегию иметь цифру «1» в качестве своего собственного телефонного номера."
"От буквы «Σ» произошли латинская буква S, кириллическая С и некоторые другие, в том числе косвенным образом и кириллическая буква зело (Ѕ, в книгах печаталась следующим образом: ).","От буквы «сигма» произошли латинская буква S, кириллическая С и некоторые другие, в том числе косвенным образом и кириллическая буква зело (Ѕ, в книгах печаталась следующим образом: )."
"В греческом языке Σ передаёт звук [s].","В греческом языке сигма передаёт звук [s]."
"В некоторых книгах, особенно при издании папирусных фрагментов (где неясно, конец ли слова перед нами) вместо знаков Σ, σ, ς используется единое с-образное начертание буквы, так называемая «sigma lunatum», то есть «лунообразная Σ» (Ϲ, ϲ).","В некоторых книгах, особенно при издании папирусных фрагментов (где неясно, конец ли слова перед нами) вместо знаков Σ, σ, ς используется единое с-образное начертание буквы, так называемая «sigma lunatum», то есть «лунообразная сигма» (Ϲ, ϲ)."
"в физике — Σ-гипероны, один из видов элементарных частиц.","в физике — сигма-гипероны, один из видов элементарных частиц."
"Σ-алгебру — алгебру множеств, замкнутую относительно счётных объединений, использующуюся для ключевых определений теории меры и теории вероятностей;","сигма-алгебру — алгебру множеств, замкнутую относительно счётных объединений, использующуюся для ключевых определений теории меры и теории вероятностей;"
"в химии — Σ-связь — один из видов ковалентной связи и реакционную константу в уравнении Гаммета;","в химии — сигма-связь — один из видов ковалентной связи и реакционную константу в уравнении Гаммета;"
"19 мая 2006 года герб городского округа города-курорта Ессентуки был внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 2218.","19 мая 2006 года герб городского округа города-курорта Ессентуки был внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 2218."
"По данным «Важных историй», из фонда президентских грантов проекты «Квартала Луи» получили 160 млн ₽, это второй по величине получатель грантов из категории соцзащиты с 2017 года.","По данным «Важных историй», из фонда президентских грантов проекты «Квартала Луи» получили 160 млн рублей, это второй по величине получатель грантов из категории соцзащиты с 2017 года."
"Также небольшую часть доходов «Квартал Луи» получает от удержаний из пенсий подопечных, в 2023 году фонд получил чуть больше миллиона ₽ за счет пенсий из общей суммы в 125 млн ₽.","Также небольшую часть доходов «Квартал Луи» получает от удержаний из пенсий подопечных, в 2023 году фонд получил чуть больше миллиона рублей за счет пенсий из общей суммы в 125 млн рублей."
"Проект «Дом Вероники» собрал около 27 млн ₽, часть денег для проекта выделили правительство Пензенской области, фонд представитель президента и фонд президентских грантов","Проект «Дом Вероники» собрал около 27 млн рублей, часть денег для проекта выделили правительство Пензенской области, фонд представитель президента и фонд президентских грантов"
