question,answer
"Многослойное металлокерамическое лобовое бронирование танка эквивалентно 1 м гомогенной металлической брони, к-рый, по мнению производителя, невозможно пробить существующими снарядами и противотанковыми ракетами.","Многослойное металлокерамическое лобовое бронирование танка эквивалентно 1 метру гомогенной металлической брони, которое, по мнению производителя, невозможно пробить существующими снарядами и противотанковыми ракетами."
"Объём топливного бака составляет 2100 л и рассчитан на дальность хода до 500 км по ш..","Объём топливного бака составляет 2100 литров и рассчитан на дальность хода до 500 км по шоссе."
"В Т-14, помимо оптических приборов, входящих в СУО, оборудован шестью камерами высокого разрешения на башне танка, что позволяет экипажу наблюдать за обстановкой вокруг танка на 360 °, не покидая его.","В Т-14, помимо оптических приборов, входящих в СУО, оборудован шестью камерами высокого разрешения на башне танка, что позволяет экипажу наблюдать за обстановкой вокруг танка на 360 градусов, не покидая его."
"Дальность поражения целей до 7000 м и скорострельность 10—12 выстрелов в минуту.","Дальность поражения целей до 7000 метров и скорострельность 10—12 выстрелов в минуту."
"Особенностью автомата заряжания 2A82 является возможность стрелять длинными боеприпасами до 1 м длиной, что критично для подкалиберных бронебойных снарядов повышенного могущества, таких как «Вакуум-1» сходного с M829A3 для Абрамса.","Особенностью автомата заряжания 2A82 является возможность стрелять длинными боеприпасами до 1 метра длиной, что критично для подкалиберных бронебойных снарядов повышенного могущества, таких как «Вакуум-1» сходного с M829A3 для Абрамса."
"Эксперты Popular Mechanics указывают, что если Армата Т-14 будет использовать снаряд в 0,5 ТНТ, то его попадание приведёт к уничтожению техники и сооружений в диаметре ок. 200—400 м, а мгновенная смертельная доза радиации будет в диаметре 700 м.","Эксперты Popular Mechanics указывают, что если Армата Т-14 будет использовать снаряд в 0,5 ТНТ, то его попадание приведёт к уничтожению техники и сооружений в диаметре около 200—400 метров, а мгновенная смертельная доза радиации будет в диаметре 700 метров."
"Зенитный пулемёт «Корд» смонтирован в собственной роботизированной башне, интегрирован с АФАР-радаром танка, тепловизорами и способен поражать на дистанции до 1500 м даже высокоскоростные цели, поэтому, кроме функции ПВО, интегрирован в комплекс активной защиты танка.","Зенитный пулемёт «Корд» смонтирован в собственной роботизированной башне, интегрирован с АФАР-радаром танка, тепловизорами и способен поражать на дистанции до 1500 метров даже высокоскоростные цели, поэтому, кроме функции ПВО, интегрирован в комплекс активной защиты танка."
"Однако, наличие кабеля, соединяющего БПЛА с машиной, ограничивает высоту и радиус полёта БПЛА до 50-100 м, но позволяет БПЛА неограниченно долго находиться в полёте, планировать за танком на его скорости и быть более защищённым от РЭБ.","Однако, наличие кабеля, соединяющего БПЛА с машиной, ограничивает высоту и радиус полёта БПЛА до 50-100 метров, но позволяет БПЛА неограниченно долго находиться в полёте, планировать за танком на его скорости и быть более защищённым от РЭБ."
"За счёт поднятия на высоту 50-100 м БПЛА расширяет расстояние до горизонта до 26-37 км и текущими приборами БПЛА может наблюдать объекты на дальности до 10 км, что позволяет танку вести огонь с закрытых позиций или находясь внутри облака маскирующего аэрозоля «Афганита», а также передавать разведанные цели другим машинам по ЕСУ ТЗ.","За счёт поднятия на высоту 50-100 метров БПЛА расширяет расстояние до горизонта до 26-37 км и текущими приборами БПЛА может наблюдать объекты на дальности до 10 км, что позволяет танку вести огонь с закрытых позиций или находясь внутри облака маскирующего аэрозоля «Афганита», а также передавать разведанные цели другим машинам по ЕСУ ТЗ."
"Вытекает из болота Большая Вельга на северо-западе Тороповского сельского поселения Бабаевского района Вологодской области, менее чем в км от границы с Ленинградской областью.","Вытекает из болота Большая Вельга на северо-западе Тороповского сельского поселения Бабаевского района Вологодской области, менее чем в километре от границы с Ленинградской областью."
