"Учреждена в 1959 году в размере 15 000 ₽ (после денежной реформы 1961 года — 1500 ₽).","Учреждена в 1959 году в размере 15 000 рублей (после денежной реформы 1961 года — 1500 рублей)."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"Пять ₽ Николая I — золотая монета Российской империи регулярного чекана номиналом в пять ₽.","Пять рублей Николая I — золотая монета Российской империи регулярного чекана номиналом в пять рублей."
"Товарищество Санкт-Петербургского (в 1914—1918 гг. Петроградского) вагоностроительного завода осуществляло свою деятельность с 1893 (Устав Высочайше утвержден 3 июля 1893 г.) по 1918 г. Министерством торговли и промышленности Временного правительства 25 апреля 1917 года разрешено увеличить основной капитал Товарищества Петроградского вагоностроительного завода с 11250000 ₽ до 25250000 ₽ посредством выпуска 140000 дополнительных паев на сумму 14000000 ₽ номинальных.","Товарищество Санкт-Петербургского (в 1914—1918 гг. Петроградского) вагоностроительного завода осуществляло свою деятельность с 1893 (Устав Высочайше утвержден 3 июля 1893 г.) по 1918 г. Министерством торговли и промышленности Временного правительства 25 апреля 1917 года разрешено увеличить основной капитал Товарищества Петроградского вагоностроительного завода с 11250000 рублей до 25250000 рублей посредством выпуска 140000 дополнительных паев на сумму 14000000 рублей номинальных."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"В современной России с 1992 года банкнота 25 ₽ не выпускается.","В современной России с 1992 года банкнота 25 рублей не выпускается."
"В СССР с 1988 года выпускались памятные монеты номиналом 25 ₽ из палладия, в 1991 году — из золота.","В СССР с 1988 года выпускались памятные монеты номиналом 25 рублей из палладия, в 1991 году — из золота."
"Помимо этого, Фонд использует для финансирования региональных программ капитального ремонта и переселения граждан из аварийного жилищного фонда доходы от размещения временно свободных средств — 11,7 млрд ₽ уже направлено в регионы.","Помимо этого, Фонд использует для финансирования региональных программ капитального ремонта и переселения граждан из аварийного жилищного фонда доходы от размещения временно свободных средств — 11,7 млрд рублей уже направлено в регионы."
"Были выпущены боны номиналом 1, 3, 5, 10, 25 ₽.","Были выпущены боны номиналом 1, 3, 5, 10, 25 рублей."
"В 2021 году оборот (оборот от продаж с учётом НДС за вычетом возвратов, отмененных заказов и скидок) маркетплейса составил 29 млрд ₽.","В 2021 году оборот (оборот от продаж с учётом НДС за вычетом возвратов, отмененных заказов и скидок) маркетплейса составил 29 млрд рублей."
"Медаль изготовлялась из золота на цепочке того же металла и стоила сравнительно дорого по тем временам — 67 ₽ и 89 копеек.","Медаль изготовлялась из золота на цепочке того же металла и стоила сравнительно дорого по тем временам — 67 рублей и 89 копеек."
"Последняя работа Стадницкого — проекты памятного ₽, плакеты и медали для награждения в память 200-летия Гангутской победы.","Последняя работа Стадницкого — проекты памятного рубля, плакеты и медали для награждения в память 200-летия Гангутской победы."
"Размер премии — 10 тысяч ₽, после денежной реформы 1961 года — тысяча ₽.","Размер премии — 10 тысяч рублей, после денежной реформы 1961 года — тысяча рублей."
"Победителем первого сезона и обладателем 5 миллионов ₽ стал Terry (Олег Терновой из Ташкента, Узбекистан).","Победителем первого сезона и обладателем 5 миллионов рублей стал Terry (Олег Терновой из Ташкента, Узбекистан)."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"Стоимость строительства составит 98 миллиардов ¥ (около 450 миллиардов ₽ в ценах 2011 года).","Стоимость строительства составит 98 миллиардов юаней (около 450 миллиардов рублей в ценах 2011 года)."
"К этому времени по ДВР ходили различные суррогатные денежные знаки, имевшие различный курс взаимного обмена, например, сибирские ₽, керенки, денежные знаки соседних государств, такие как японские иены.","К этому времени по ДВР ходили различные суррогатные денежные знаки, имевшие различный курс взаимного обмена, например, сибирские рубли, керенки, денежные знаки соседних государств, такие как японские иены."
"Стоимость разработки и создания первого лётного образца определена в размере 57,56 миллиарда ₽.","Стоимость разработки и создания первого лётного образца определена в размере 57,56 миллиарда рублей."
