question,answer
"Сегодня считается, что их потомки составляют большую группу из 6,2 млн чел., то есть около 20 % населения Перу имеют баскское происхождение.","Сегодня считается, что их потомки составляют большую группу из 6,2 миллиона человек, то есть около 20 % населения Перу имеют баскское происхождение."
"Баскские следы также видны в Перу в ХХ веке, поскольку пять президентов того в носят баскские фамилии.","Баскские следы также видны в Перу в ХХ веке, поскольку пять президентов того века носят баскские фамилии."
"История компании начинается в 1993 г, когда в Москве, на улице Житной, был открыт первый фитнес-клуб World Class.","История компании начинается в 1993 году, когда в Москве, на улице Житной, был открыт первый фитнес-клуб World Class."
"На 2015 г World Class имеет 36 собственных и 35 франчайзинговых клубов в 25 городах в 3 странах.","На 2015 год World Class имеет 36 собственных и 35 франчайзинговых клубов в 25 городах в 3 странах."
"2001 г.","2001 год."
"2004 г.","2004 год."
"2008 г.","2008 год."
"2011 г.","2011 год."
"2005 г.","2005 год."
"2006 г.","2006 год."
"Состояние местности на 1983 г.","Состояние местности на 1983 год."
"Состояние местности на 1983 г.","Состояние местности на 1983 год."
"Siemens M75 — защищённый сотовый телефон фирмы Siemens, разработанный в 2005 г.","Siemens M75 — защищённый сотовый телефон фирмы Siemens, разработанный в 2005 году."
"Население по переписи 2001 года составляло 314 чел..","Население по переписи 2001 года составляло 314 человек."
"Закон не требует каких-либо авторских формальностей, таких как регистрация или обязательный экз..","Закон не требует каких-либо авторских формальностей, таких как регистрация или обязательный экземпляр."
"== Ранние гг ==","== Ранние годы =="
"Ксения Лукьянчикова род. 15 января 1993 года в Санкт-Петербурге.","Ксения Лукьянчикова родилась 15 января 1993 года в Санкт-Петербурге."
"В 2015 г окончила Российский государственный институт сценических искусств по специальности «артист театра и кино» (курс А. М. Зеланда).","В 2015 году окончила Российский государственный институт сценических искусств по специальности «артист театра и кино» (курс А. М. Зеланда)."
"В 2017 г на Международном кинофестивале имени Вячеслава Тихонова «17 мгновений…» актриса удостоена премии в номинации «Лучшая женская роль в сериале».","В 2017 году на Международном кинофестивале имени Вячеслава Тихонова «17 мгновений…» актриса удостоена премии в номинации «Лучшая женская роль в сериале»."
"С 2015 по 2018 г состояла в отношениях с актёром Иваном Жвакиным.","С 2015 по 2018 год состояла в отношениях с актёром Иваном Жвакиным."
